Temperature (c), Humidity (%)
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.60, 65.00
22.70, 65.00
22.60, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 66.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.70, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 66.00
22.60, 66.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 65.00
22.60, 66.00
22.60, 66.00
22.60, 66.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
22.60, 65.00
